distribution_channel,market_segment,total_of_special_requests,booking_changes,lead_time,adr,days_in_waiting_list,canceled_rooms,total_rooms,cancellation_rate
Corporate,Aviation,0,0,0,80.0,0,1,1,100.0
Corporate,Aviation,0,0,0,95.0,0,3,17,17.647058823529413
Corporate,Aviation,0,0,1,95.0,0,4,9,44.44444444444444
Corporate,Aviation,0,0,1,110.0,0,1,5,20.0
Corporate,Aviation,0,0,1,144.0,0,3,3,100.0
Corporate,Aviation,0,0,2,79.0,0,1,3,33.33333333333333
Corporate,Aviation,0,0,2,94.0,0,1,5,20.0
Corporate,Aviation,0,0,2,95.0,0,1,4,25.0
Corporate,Aviation,0,0,2,110.0,0,2,11,18.181818181818183
Corporate,Aviation,0,0,3,95.0,0,2,14,14.285714285714285
Corporate,Aviation,0,0,3,103.5,0,1,1,100.0
Corporate,Aviation,0,0,3,110.0,0,2,12,16.666666666666664
Corporate,Aviation,0,0,3,126.0,0,2,2,100.0
Corporate,Aviation,0,0,4,110.0,0,3,9,33.33333333333333
Corporate,Aviation,0,0,5,95.0,0,2,7,28.57142857142857
Corporate,Aviation,0,0,5,110.0,0,4,6,66.66666666666666
Corporate,Aviation,0,0,8,110.0,0,1,3,33.33333333333333
Corporate,Aviation,0,0,10,110.0,0,3,4,75.0
Corporate,Aviation,0,0,20,110.0,0,1,1,100.0
Corporate,Aviation,0,0,23,95.0,0,1,1,100.0
Corporate,Aviation,0,1,10,79.0,0,1,1,100.0
Corporate,Aviation,0,1,11,95.0,0,2,5,40.0
Corporate,Aviation,0,1,17,110.0,0,1,1,100.0
Corporate,Aviation,0,1,20,110.0,0,2,2,100.0
Corporate,Aviation,0,2,20,110.0,0,1,1,100.0
Corporate,Aviation,1,0,1,0.0,0,1,1,100.0
Corporate,Aviation,1,0,3,95.0,0,1,1,100.0
Corporate,Aviation,1,0,6,95.0,0,1,1,100.0
Corporate,Aviation,2,0,0,95.0,0,2,3,66.66666666666666
Corporate,Complementary,0,0,0,0.0,0,7,8,87.5
Corporate,Complementary,0,0,12,0.0,0,1,3,33.33333333333333
Corporate,Complementary,0,0,16,2.0,0,1,1,100.0
Corporate,Complementary,0,2,126,0.0,0,2,2,100.0
Corporate,Complementary,1,0,0,0.0,0,2,6,33.33333333333333
Corporate,Complementary,1,0,54,0.0,0,1,1,100.0
Corporate,Complementary,1,1,64,0.0,0,1,1,100.0
Corporate,Complementary,2,0,0,0.0,0,2,10,20.0
Corporate,Complementary,2,0,1,0.0,0,1,3,33.33333333333333
Corporate,Complementary,2,0,4,0.0,0,1,1,100.0
Corporate,Complementary,3,0,1,0.0,0,1,3,33.33333333333333
Corporate,Corporate,0,0,0,30.0,0,1,33,3.0303030303030303
Corporate,Corporate,0,0,0,35.0,0,3,68,4.411764705882353
Corporate,Corporate,0,0,0,40.0,0,1,20,5.0
Corporate,Corporate,0,0,0,42.0,0,1,25,4.0
Corporate,Corporate,0,0,0,50.0,0,1,7,14.285714285714285
Corporate,Corporate,0,0,0,57.0,0,1,3,33.33333333333333
Corporate,Corporate,0,0,0,58.5,0,2,4,50.0
Corporate,Corporate,0,0,0,65.0,0,5,70,7.142857142857142
Corporate,Corporate,0,0,0,75.0,0,1,15,6.666666666666667
Corporate,Corporate,0,0,0,79.0,0,1,18,5.555555555555555
Corporate,Corporate,0,0,0,80.0,0,1,8,12.5
Corporate,Corporate,0,0,0,92.5,0,1,1,100.0
Corporate,Corporate,0,0,0,95.0,0,1,15,6.666666666666667
Corporate,Corporate,0,0,0,114.0,0,1,3,33.33333333333333
Corporate,Corporate,0,0,0,120.0,0,1,2,50.0
Corporate,Corporate,0,0,0,153.0,0,1,1,100.0
Corporate,Corporate,0,0,1,6.0,0,2,2,100.0
Corporate,Corporate,0,0,1,30.0,0,1,18,5.555555555555555
Corporate,Corporate,0,0,1,35.0,0,2,29,6.896551724137931
Corporate,Corporate,0,0,1,37.0,0,3,3,100.0
Corporate,Corporate,0,0,1,60.0,0,2,2,100.0
Corporate,Corporate,0,0,1,65.0,0,4,44,9.090909090909092
Corporate,Corporate,0,0,1,75.0,0,1,6,16.666666666666664
Corporate,Corporate,0,0,1,77.0,0,1,1,100.0
Corporate,Corporate,0,0,1,80.0,0,1,8,12.5
Corporate,Corporate,0,0,1,95.0,0,1,5,20.0
Corporate,Corporate,0,0,1,172.55,0,1,1,100.0
Corporate,Corporate,0,0,2,30.0,0,3,15,20.0
Corporate,Corporate,0,0,2,35.0,0,1,19,5.263157894736842
Corporate,Corporate,0,0,2,37.0,0,1,2,50.0
Corporate,Corporate,0,0,2,38.0,0,1,6,16.666666666666664
Corporate,Corporate,0,0,2,39.0,0,2,5,40.0
Corporate,Corporate,0,0,2,47.0,0,1,1,100.0
Corporate,Corporate,0,0,2,57.0,0,1,1,100.0
Corporate,Corporate,0,0,2,65.0,0,2,31,6.451612903225806
Corporate,Corporate,0,0,2,75.0,0,1,6,16.666666666666664
Corporate,Corporate,0,0,2,77.0,0,1,1,100.0
Corporate,Corporate,0,0,2,88.0,0,1,1,100.0
Corporate,Corporate,0,0,2,103.0,0,1,1,100.0
Corporate,Corporate,0,0,2,110.0,0,1,2,50.0
Corporate,Corporate,0,0,2,137.7,0,1,1,100.0
Corporate,Corporate,0,0,2,169.0,0,1,1,100.0
Corporate,Corporate,0,0,3,30.0,0,1,8,12.5
Corporate,Corporate,0,0,3,35.0,0,1,10,10.0
Corporate,Corporate,0,0,3,39.0,0,4,10,40.0
Corporate,Corporate,0,0,3,61.0,0,1,4,25.0
Corporate,Corporate,0,0,3,62.4,0,1,1,100.0
Corporate,Corporate,0,0,3,65.0,0,9,34,26.47058823529412
Corporate,Corporate,0,0,3,67.0,0,1,7,14.285714285714285
Corporate,Corporate,0,0,3,79.2,0,2,2,100.0
Corporate,Corporate,0,0,3,80.0,0,1,3,33.33333333333333
Corporate,Corporate,0,0,3,85.0,0,1,1,100.0
Corporate,Corporate,0,0,3,95.0,0,1,4,25.0
Corporate,Corporate,0,0,3,99.0,0,1,1,100.0
Corporate,Corporate,0,0,3,119.0,0,1,1,100.0
Corporate,Corporate,0,0,3,120.0,0,3,4,75.0
Corporate,Corporate,0,0,3,123.0,0,1,3,33.33333333333333
Corporate,Corporate,0,0,3,130.0,0,1,1,100.0
Corporate,Corporate,0,0,3,136.0,0,1,1,100.0
Corporate,Corporate,0,0,4,35.0,0,1,11,9.090909090909092
Corporate,Corporate,0,0,4,38.0,0,1,3,33.33333333333333
Corporate,Corporate,0,0,4,40.0,0,1,3,33.33333333333333
Corporate,Corporate,0,0,4,52.5,0,1,1,100.0
Corporate,Corporate,0,0,4,65.0,0,1,21,4.761904761904762
Corporate,Corporate,0,0,4,70.0,0,1,1,100.0
Corporate,Corporate,0,0,4,80.0,0,1,3,33.33333333333333
Corporate,Corporate,0,0,4,84.0,0,1,1,100.0
Corporate,Corporate,0,0,4,90.0,0,2,3,66.66666666666666
Corporate,Corporate,0,0,4,110.0,0,1,4,25.0
Corporate,Corporate,0,0,4,134.0,0,1,2,50.0
Corporate,Corporate,0,0,4,185.0,0,1,1,100.0
Corporate,Corporate,0,0,5,35.0,0,4,12,33.33333333333333
Corporate,Corporate,0,0,5,39.0,0,1,9,11.11111111111111
Corporate,Corporate,0,0,5,65.0,0,1,36,2.7777777777777777
Corporate,Corporate,0,0,5,81.0,0,1,1,100.0
Corporate,Corporate,0,0,5,84.0,0,1,3,33.33333333333333
Corporate,Corporate,0,0,5,85.0,0,1,1,100.0
Corporate,Corporate,0,0,5,90.0,0,1,2,50.0
Corporate,Corporate,0,0,5,94.0,0,1,1,100.0
Corporate,Corporate,0,0,5,95.0,0,4,10,40.0
Corporate,Corporate,0,0,5,100.0,0,13,13,100.0
Corporate,Corporate,0,0,5,110.0,0,1,4,25.0
Corporate,Corporate,0,0,6,0.0,0,1,5,20.0
Corporate,Corporate,0,0,6,35.0,0,1,16,6.25
Corporate,Corporate,0,0,6,45.0,0,1,5,20.0
Corporate,Corporate,0,0,6,59.0,0,1,1,100.0
Corporate,Corporate,0,0,6,65.0,0,4,27,14.814814814814813
Corporate,Corporate,0,0,6,90.0,0,4,5,80.0
Corporate,Corporate,0,0,6,100.0,0,11,11,100.0
Corporate,Corporate,0,0,6,126.0,0,1,1,100.0
Corporate,Corporate,0,0,7,23.0,0,1,1,100.0
Corporate,Corporate,0,0,7,30.0,0,2,5,40.0
Corporate,Corporate,0,0,7,48.0,0,1,4,25.0
Corporate,Corporate,0,0,7,56.95,0,1,1,100.0
Corporate,Corporate,0,0,7,57.0,0,1,1,100.0
Corporate,Corporate,0,0,7,65.0,0,4,21,19.047619047619047
Corporate,Corporate,0,0,7,66.0,0,1,5,20.0
Corporate,Corporate,0,0,7,78.4,0,1,1,100.0
Corporate,Corporate,0,0,7,80.0,0,1,4,25.0
Corporate,Corporate,0,0,8,38.0,0,1,4,25.0
Corporate,Corporate,0,0,8,45.0,0,1,6,16.666666666666664
Corporate,Corporate,0,0,8,48.0,0,1,1,100.0
Corporate,Corporate,0,0,8,50.0,0,1,1,100.0
Corporate,Corporate,0,0,8,66.0,0,1,2,50.0
Corporate,Corporate,0,0,8,67.0,0,1,2,50.0
Corporate,Corporate,0,0,8,75.0,0,1,3,33.33333333333333
Corporate,Corporate,0,0,8,126.0,0,1,1,100.0
Corporate,Corporate,0,0,8,130.0,0,1,1,100.0
Corporate,Corporate,0,0,8,135.0,0,3,3,100.0
Corporate,Corporate,0,0,8,170.63,0,1,1,100.0
Corporate,Corporate,0,0,9,35.0,0,1,6,16.666666666666664
Corporate,Corporate,0,0,9,45.0,0,1,1,100.0
Corporate,Corporate,0,0,9,65.0,0,1,10,10.0
Corporate,Corporate,0,0,9,95.0,0,1,4,25.0
Corporate,Corporate,0,0,9,100.0,0,1,1,100.0
Corporate,Corporate,0,0,9,114.0,0,1,1,100.0
Corporate,Corporate,0,0,9,184.45,0,1,2,50.0
Corporate,Corporate,0,0,10,41.4,0,2,2,100.0
Corporate,Corporate,0,0,10,45.0,0,13,15,86.66666666666667
Corporate,Corporate,0,0,10,65.0,0,1,4,25.0
Corporate,Corporate,0,0,10,66.0,0,2,2,100.0
Corporate,Corporate,0,0,10,79.0,0,1,1,100.0
Corporate,Corporate,0,0,10,95.0,0,2,11,18.181818181818183
Corporate,Corporate,0,0,10,104.0,0,1,3,33.33333333333333
Corporate,Corporate,0,0,11,27.0,0,1,4,25.0
Corporate,Corporate,0,0,11,35.0,0,1,7,14.285714285714285
Corporate,Corporate,0,0,11,79.0,0,1,1,100.0
Corporate,Corporate,0,0,11,90.0,0,10,20,50.0
Corporate,Corporate,0,0,11,121.0,0,1,1,100.0
Corporate,Corporate,0,0,11,185.0,0,1,1,100.0
Corporate,Corporate,0,0,12,30.0,0,2,3,66.66666666666666
Corporate,Corporate,0,0,12,65.0,0,1,36,2.7777777777777777
Corporate,Corporate,0,0,12,65.6,0,1,1,100.0
Corporate,Corporate,0,0,12,73.8,0,1,1,100.0
Corporate,Corporate,0,0,12,184.45,0,3,3,100.0
Corporate,Corporate,0,0,12,197.1,0,1,1,100.0
Corporate,Corporate,0,0,13,35.0,0,1,4,25.0
Corporate,Corporate,0,0,13,45.0,0,1,4,25.0
Corporate,Corporate,0,0,13,65.0,0,1,13,7.6923076923076925
Corporate,Corporate,0,0,13,67.0,0,1,3,33.33333333333333
Corporate,Corporate,0,0,13,75.0,0,1,3,33.33333333333333
Corporate,Corporate,0,0,13,77.0,0,1,1,100.0
Corporate,Corporate,0,0,13,85.0,0,2,3,66.66666666666666
Corporate,Corporate,0,0,13,110.0,0,1,3,33.33333333333333
Corporate,Corporate,0,0,13,159.0,0,1,2,50.0
Corporate,Corporate,0,0,14,35.0,0,1,2,50.0
Corporate,Corporate,0,0,14,105.0,0,1,7,14.285714285714285
Corporate,Corporate,0,0,14,134.0,0,1,1,100.0
Corporate,Corporate,0,0,14,166.25,0,1,1,100.0
Corporate,Corporate,0,0,15,65.0,0,1,5,20.0
Corporate,Corporate,0,0,15,109.0,0,1,1,100.0
Corporate,Corporate,0,0,16,40.0,0,1,4,25.0
Corporate,Corporate,0,0,16,48.0,0,2,4,50.0
Corporate,Corporate,0,0,16,95.0,0,19,26,73.07692307692307
Corporate,Corporate,0,0,16,105.0,0,1,1,100.0
Corporate,Corporate,0,0,16,139.0,0,1,1,100.0
Corporate,Corporate,0,0,17,65.0,0,2,8,25.0
Corporate,Corporate,0,0,17,67.0,0,2,2,100.0
Corporate,Corporate,0,0,17,80.0,0,3,5,60.0
Corporate,Corporate,0,0,17,135.0,0,1,1,100.0
Corporate,Corporate,0,0,18,95.0,0,1,1,100.0
Corporate,Corporate,0,0,18,126.0,0,1,1,100.0
Corporate,Corporate,0,0,19,85.5,0,1,2,50.0
Corporate,Corporate,0,0,19,100.0,0,1,1,100.0
Corporate,Corporate,0,0,20,44.0,0,1,1,100.0
Corporate,Corporate,0,0,20,60.0,0,1,1,100.0
Corporate,Corporate,0,0,20,65.0,0,1,5,20.0
Corporate,Corporate,0,0,20,67.0,0,3,6,50.0
Corporate,Corporate,0,0,20,110.0,0,1,1,100.0
Corporate,Corporate,0,0,21,66.0,0,2,2,100.0
Corporate,Corporate,0,0,21,67.0,0,2,2,100.0
Corporate,Corporate,0,0,21,75.65,0,2,3,66.66666666666666
Corporate,Corporate,0,0,21,80.0,0,1,2,50.0
Corporate,Corporate,0,0,21,135.0,0,1,1,100.0
Corporate,Corporate,0,0,22,62.0,0,1,9,11.11111111111111
Corporate,Corporate,0,0,22,65.0,0,1,11,9.090909090909092
Corporate,Corporate,0,0,23,45.0,0,1,2,50.0
Corporate,Corporate,0,0,23,65.0,0,1,4,25.0
Corporate,Corporate,0,0,23,89.1,0,1,1,100.0
Corporate,Corporate,0,0,24,50.0,0,6,10,60.0
Corporate,Corporate,0,0,24,59.78,0,1,1,100.0
Corporate,Corporate,0,0,24,70.0,0,1,1,100.0
Corporate,Corporate,0,0,24,100.0,0,1,5,20.0
Corporate,Corporate,0,0,25,40.0,0,1,1,100.0
Corporate,Corporate,0,0,25,76.0,0,1,1,100.0
Corporate,Corporate,0,0,25,100.0,0,6,13,46.15384615384615
Corporate,Corporate,0,0,25,125.0,0,1,1,100.0
Corporate,Corporate,0,0,26,65.0,0,1,7,14.285714285714285
Corporate,Corporate,0,0,26,77.0,0,1,1,100.0
Corporate,Corporate,0,0,26,100.0,0,7,7,100.0
Corporate,Corporate,0,0,27,42.0,0,1,1,100.0
Corporate,Corporate,0,0,27,69.0,0,1,1,100.0
Corporate,Corporate,0,0,28,65.0,0,1,4,25.0
Corporate,Corporate,0,0,28,89.0,0,1,1,100.0
Corporate,Corporate,0,0,28,95.0,0,4,5,80.0
Corporate,Corporate,0,0,28,100.0,0,4,8,50.0
Corporate,Corporate,0,0,29,50.0,0,2,2,100.0
Corporate,Corporate,0,0,29,115.0,0,1,1,100.0
Corporate,Corporate,0,0,31,40.0,0,7,7,100.0
Corporate,Corporate,0,0,31,70.0,0,1,1,100.0
Corporate,Corporate,0,0,31,71.0,0,1,2,50.0
Corporate,Corporate,0,0,31,135.0,0,2,2,100.0
Corporate,Corporate,0,0,32,50.0,0,1,8,12.5
Corporate,Corporate,0,0,32,59.0,0,1,1,100.0
Corporate,Corporate,0,0,33,25.0,0,5,5,100.0
Corporate,Corporate,0,0,33,62.0,15,6,6,100.0
Corporate,Corporate,0,0,34,65.0,0,3,5,60.0
Corporate,Corporate,0,0,35,35.0,0,1,1,100.0
Corporate,Corporate,0,0,36,40.0,0,9,9,100.0
Corporate,Corporate,0,0,36,68.5,0,1,1,100.0
Corporate,Corporate,0,0,37,89.0,0,2,2,100.0
Corporate,Corporate,0,0,38,75.0,0,99,99,100.0
Corporate,Corporate,0,0,39,40.0,0,4,4,100.0
Corporate,Corporate,0,0,40,40.0,0,11,11,100.0
Corporate,Corporate,0,0,41,40.0,0,10,10,100.0
Corporate,Corporate,0,0,43,50.0,0,1,3,33.33333333333333
Corporate,Corporate,0,0,43,76.0,0,1,1,100.0
Corporate,Corporate,0,0,44,93.0,0,1,1,100.0
Corporate,Corporate,0,0,45,65.0,0,2,2,100.0
Corporate,Corporate,0,0,45,93.0,0,1,1,100.0
Corporate,Corporate,0,0,47,76.0,0,4,4,100.0
Corporate,Corporate,0,0,47,89.0,0,1,1,100.0
Corporate,Corporate,0,0,47,93.0,0,3,3,100.0
Corporate,Corporate,0,0,48,76.0,0,3,3,100.0
Corporate,Corporate,0,0,50,76.0,0,1,1,100.0
Corporate,Corporate,0,0,51,76.0,0,3,3,100.0
Corporate,Corporate,0,0,51,93.0,0,2,2,100.0
Corporate,Corporate,0,0,51,110.0,0,1,1,100.0
Corporate,Corporate,0,0,52,92.0,0,1,1,100.0
Corporate,Corporate,0,0,53,92.0,0,1,1,100.0
Corporate,Corporate,0,0,54,67.0,0,2,2,100.0
Corporate,Corporate,0,0,54,75.0,16,1,1,100.0
Corporate,Corporate,0,0,54,92.0,0,1,1,100.0
Corporate,Corporate,0,0,55,53.0,0,1,1,100.0
Corporate,Corporate,0,0,55,79.0,0,3,13,23.076923076923077
Corporate,Corporate,0,0,55,92.0,0,3,3,100.0
Corporate,Corporate,0,0,55,100.0,0,1,1,100.0
Corporate,Corporate,0,0,55,113.0,0,1,1,100.0
Corporate,Corporate,0,0,57,113.0,0,1,1,100.0
Corporate,Corporate,0,0,58,92.0,0,4,4,100.0
Corporate,Corporate,0,0,59,92.0,0,1,1,100.0
Corporate,Corporate,0,0,60,50.0,0,6,6,100.0
Corporate,Corporate,0,0,60,120.0,0,1,1,100.0
Corporate,Corporate,0,0,62,146.0,0,1,1,100.0
Corporate,Corporate,0,0,62,163.0,0,1,1,100.0
Corporate,Corporate,0,0,64,135.0,0,1,1,100.0
Corporate,Corporate,0,0,66,135.0,0,1,1,100.0
Corporate,Corporate,0,0,67,174.0,0,1,1,100.0
Corporate,Corporate,0,0,68,100.0,0,1,1,100.0
Corporate,Corporate,0,0,69,85.0,0,34,34,100.0
Corporate,Corporate,0,0,70,42.0,0,9,13,69.23076923076923
Corporate,Corporate,0,0,71,146.0,0,2,2,100.0
Corporate,Corporate,0,0,73,0.0,0,1,1,100.0
Corporate,Corporate,0,0,73,40.0,0,2,14,14.285714285714285
Corporate,Corporate,0,0,74,40.0,0,11,12,91.66666666666666
Corporate,Corporate,0,0,74,96.3,0,1,1,100.0
Corporate,Corporate,0,0,76,8.0,0,1,1,100.0
Corporate,Corporate,0,0,78,32.0,0,1,25,4.0
Corporate,Corporate,0,0,78,50.0,0,1,1,100.0
Corporate,Corporate,0,0,86,80.0,0,1,1,100.0
Corporate,Corporate,0,0,86,100.0,0,3,16,18.75
Corporate,Corporate,0,0,87,90.0,0,1,1,100.0
Corporate,Corporate,0,0,87,100.0,0,2,2,100.0
Corporate,Corporate,0,0,90,85.0,21,1,1,100.0
Corporate,Corporate,0,0,99,80.0,0,69,69,100.0
Corporate,Corporate,0,0,112,40.0,0,5,17,29.411764705882355
Corporate,Corporate,0,0,192,106.0,0,1,1,100.0
Corporate,Corporate,0,0,199,106.0,0,1,1,100.0
Corporate,Corporate,0,0,206,106.0,0,1,1,100.0
